Date,League,Team,Amount,Break
01-Aug-16,Championship,*Total,575,Break
01-Aug-16,Championship,Birmingham City,31,Break
01-Aug-16,Championship,Blackburn Rovers,25,Break
01-Aug-16,Championship,Bolton Wanderers,20,Break
01-Aug-16,Championship,Brentford,17,Break
01-Aug-16,Championship,Brighton & Hove Albion,9,Break
01-Aug-16,Championship,Bristol City,42,Break
01-Aug-16,Championship,Burnley,48,Break
01-Aug-16,Championship,Cardiff City,44,Break
01-Aug-16,Championship,Charlton Athletic,26,Break
01-Aug-16,Championship,Derby County,29,Break
01-Aug-16,Championship,Fulham,5,Break
01-Aug-16,Championship,Huddersfield Town,18,Break
01-Aug-16,Championship,Hull City,14,Break
01-Aug-16,Championship,Ipswich Town,5,Break
01-Aug-16,Championship,Leeds United,47,Break
01-Aug-16,Championship,Middlesbrough,26,Break
01-Aug-16,Championship,Milton Keynes Dons,0,Break
01-Aug-16,Championship,Nottingham Forest,32,Break
01-Aug-16,Championship,Preston North End,6,Break
01-Aug-16,Championship,Queens Park Rangers,15,Break
01-Aug-16,Championship,Reading,15,Break
01-Aug-16,Championship,Rotherham United,20,Break
01-Aug-16,Championship,Sheffield Wednesday,29,Break
01-Aug-16,Championship,Wolverhampton Wanderers,52,Break